
A total of 23/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
├─────────┼──────────────────────────────┼───────┼────────┼────────────┼──────────┼──────────┼────────────────────────────┼───────────────┤
│    0    │     'shared_preferences'     │ 3100  │  110   │    100     │   true   │   true   │          '2.0.5'           │ 'flutter.dev' │
│    1    │        'url_launcher'        │ 2420  │  130   │    100     │   true   │   true   │          '6.0.3'           │ 'flutter.dev' │
│    2    │         'animations'         │ 2322  │  130   │     98     │   true   │  false   │          '2.0.0'           │ 'flutter.dev' │
│    3    │        'image_picker'        │ 1905  │  130   │    100     │   true   │  false   │          '0.7.4'           │ 'flutter.dev' │
│    4    │       'path_provider'        │ 1524  │  100   │    100     │   true   │   true   │          '2.0.1'           │ 'flutter.dev' │
│    5    │    'google_maps_flutter'     │ 1405  │  110   │     99     │   true   │  false   │          '2.0.3'           │ 'flutter.dev' │
│    6    │        'connectivity'        │ 1402  │  120   │     99     │   true   │   true   │          '3.0.3'           │ 'flutter.dev' │
│    7    │           'share'            │ 1271  │  100   │     99     │   true   │   true   │          '2.0.1'           │ 'flutter.dev' │
│    8    │      'webview_flutter'       │ 1151  │  110   │     99     │   true   │  false   │          '2.0.4'           │ 'flutter.dev' │
│    9    │        'device_info'         │  976  │  120   │     99     │   true   │   true   │          '2.0.0'           │ 'flutter.dev' │
│   10    │       'google_sign_in'       │  896  │  120   │     99     │   true   │  false   │          '5.0.2'           │ 'flutter.dev' │
│   11    │        'video_player'        │  847  │  130   │     99     │   true   │  false   │          '2.1.1'           │ 'flutter.dev' │
│   12    │        'package_info'        │  782  │  110   │     99     │   true   │   true   │          '2.0.0'           │ 'flutter.dev' │
│   13    │         'local_auth'         │  563  │  120   │     98     │   true   │  false   │          '1.1.5'           │ 'flutter.dev' │
│   14    │           'camera'           │  560  │  110   │     99     │   true   │  false   │          '0.8.1'           │ 'flutter.dev' │
│   15    │      'in_app_purchase'       │  502  │  110   │     97     │   true   │  false   │          '0.5.2'           │ 'flutter.dev' │
│   16    │ 'scrollable_positioned_list' │  473  │  110   │     98     │  false   │  false   │ '0.1.100.2.0-nullsafety.0' │ 'google.dev'  │
│   17    │     'google_mobile_ads'      │  438  │  110   │     97     │   true   │  false   │         '0.12.1+1'         │ 'google.dev'  │
│   18    │          'pedantic'          │  433  │  130   │    100     │   true   │  false   │          '1.11.0'          │ 'google.dev'  │
│   19    │          'sensors'           │  350  │  110   │     96     │   true   │   true   │          '2.0.0'           │ 'flutter.dev' │
│   20    │   'android_alarm_manager'    │  325  │  110   │     94     │   true   │   true   │          '2.0.0'           │ 'flutter.dev' │
│   21    │        'built_value'         │  304  │  130   │     99     │   true   │   true   │          '8.0.5'           │ 'google.dev'  │
│   22    │          'battery'           │  248  │  110   │     95     │   true   │   true   │          '2.0.1'           │ 'flutter.dev' │
└─────────┴──────────────────────────────┴───────┴────────┴────────────┴──────────┴──────────┴────────────────────────────┴───────────────┘
Firebase Packages
┌─────────┬──────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────┬───────────────────────┐
│ (index) │           name           │ likes │ health │ popularity │ nullSafe │ endorsed │      version       │       developer       │
├─────────┼──────────────────────────┼───────┼────────┼────────────┼──────────┼──────────┼────────────────────┼───────────────────────┤
│    0    │     'firebase_auth'      │ 1425  │  120   │    100     │   true   │  false   │      '1.1.2'       │ 'firebase.google.com' │
│    1    │    'cloud_firestore'     │ 1316  │  120   │    100     │   true   │  false   │      '1.0.7'       │ 'firebase.google.com' │
│    2    │   'firebase_messaging'   │ 1238  │  120   │     99     │   true   │  false   │      '9.1.3'       │ 'firebase.google.com' │
│    3    │     'firebase_core'      │  834  │  120   │    100     │   true   │  false   │      '1.1.0'       │ 'firebase.google.com' │
│    4    │    'firebase_storage'    │  504  │  120   │     99     │   true   │  false   │      '8.0.5'       │ 'firebase.google.com' │
│    5    │   'firebase_analytics'   │  441  │  120   │     99     │   true   │  false   │      '8.0.2'       │ 'firebase.google.com' │
│    6    │  'firebase_crashlytics'  │  374  │  110   │     99     │   true   │  false   │      '2.0.2'       │ 'firebase.google.com' │
│    7    │   'firebase_ml_vision'   │  298  │  120   │     97     │   true   │  false   │     '0.12.0+1'     │ 'firebase.google.com' │
│    8    │ 'firebase_dynamic_links' │  262  │  120   │     99     │   true   │  false   │      '2.0.2'       │ 'firebase.google.com' │
│    9    │   'firebase_database'    │  235  │   90   │     99     │  false   │  false   │ '6.1.27.0.0-dev.2' │ 'firebase.google.com' │
└─────────┴──────────────────────────┴───────┴────────┴────────────┴──────────┴──────────┴────────────────────┴───────────────────────┘
State Management Packages
┌─────────┬─────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────┬────────────────────────┐
│ (index) │      name       │ likes │ health │ popularity │ nullSafe │ endorsed │  version   │       developer        │
├─────────┼─────────────────┼───────┼────────┼────────────┼──────────┼──────────┼────────────┼────────────────────────┤
│    0    │      'get'      │ 4272  │  130   │     99     │   true   │  false   │  '4.1.4'   │      'getx.site'       │
│    1    │   'provider'    │ 4047  │  130   │    100     │   true   │   true   │  '5.0.0'   │  'dash-overflow.net'   │
│    2    │    'rxdart'     │ 1097  │  125   │    100     │   true   │   true   │  '0.26.0'  │ 'fluttercommunity.dev' │
│    3    │     'bloc'      │  944  │  130   │     99     │   true   │   true   │  '7.0.0'   │   'bloclibrary.dev'    │
│    4    │   'riverpod'    │  728  │  130   │     98     │   true   │  false   │ '0.14.0+3' │       undefined        │
│    5    │     'mobx'      │  587  │  130   │     98     │   true   │   true   │  '2.0.1'   │ 'dart.pixelingene.com' │
│    6    │ 'flutter_redux' │  260  │  130   │     97     │   true   │   true   │  '0.8.2'   │    'brianegan.com'     │
└─────────┴─────────────────┴───────┴────────┴────────────┴──────────┴──────────┴────────────┴────────────────────────┘
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬──────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ nullSafe │ endorsed │             version              │       developer        │
├─────────┼──────────────────────────────────┼───────┼────────┼────────────┼──────────┼──────────┼──────────────────────────────────┼────────────────────────┤
│    0    │              'get'               │ 4272  │  130   │     99     │   true   │  false   │             '4.1.4'              │      'getx.site'       │
│    1    │            'provider'            │ 4047  │  130   │    100     │   true   │   true   │             '5.0.0'              │  'dash-overflow.net'   │
│    2    │       'shared_preferences'       │ 3100  │  110   │    100     │   true   │   true   │             '2.0.5'              │     'flutter.dev'      │
│    3    │              'http'              │ 2542  │  130   │    100     │   true   │  false   │             '0.13.2'             │       'dart.dev'       │
│    4    │          'url_launcher'          │ 2420  │  130   │    100     │   true   │   true   │             '6.0.3'              │     'flutter.dev'      │
│    5    │           'animations'           │ 2322  │  130   │     98     │   true   │  false   │             '2.0.0'              │     'flutter.dev'      │
│    6    │          'flutter_bloc'          │ 2156  │  130   │     99     │   true   │   true   │             '7.0.0'              │   'bloclibrary.dev'    │
│    7    │              'dio'               │ 2034  │  120   │     99     │   true   │  false   │             '4.0.0'              │  'flutterchina.club'   │
│    8    │          'google_fonts'          │ 2001  │  130   │     99     │   true   │   true   │             '2.0.0'              │     'material.io'      │
│    9    │     'flutter_launcher_icons'     │ 1992  │   90   │     99     │   true   │  false   │             '0.9.0'              │ 'fluttercommunity.dev' │
│   10    │          'image_picker'          │ 1905  │  130   │    100     │   true   │  false   │             '0.7.4'              │     'flutter.dev'      │
│   11    │        'flutter_slidable'        │ 1869  │  130   │     99     │   true   │   true   │             '0.6.0'              │   'romainrastel.com'   │
│   12    │  'flutter_local_notifications'   │ 1759  │  120   │     99     │   true   │   true   │            '5.0.0+3'             │     'dexterx.dev'      │
│   13    │              'hive'              │ 1678  │  130   │     99     │   true   │  false   │             '2.0.4'              │      'hivedb.dev'      │
│   14    │           'geolocator'           │ 1672  │  130   │     99     │   true   │   true   │             '7.0.3'              │     'baseflow.com'     │
│   15    │            'sqflite'             │ 1641  │  120   │    100     │   true   │   true   │            '2.0.0+3'             │     'tekartik.com'     │
│   16    │        'carousel_slider'         │ 1577  │  110   │     99     │  false   │  false   │    '3.0.04.0.0-nullsafety.0'     │     'serenader.me'     │
│   17    │         'path_provider'          │ 1524  │  100   │    100     │   true   │   true   │             '2.0.1'              │     'flutter.dev'      │
│   18    │       'animated_text_kit'        │ 1436  │  130   │     98     │   true   │   true   │             '4.2.1'              │   'ayushagarwal.ml'    │
│   19    │         'firebase_auth'          │ 1425  │  120   │    100     │   true   │  false   │             '1.1.2'              │ 'firebase.google.com'  │
│   20    │              'intl'              │ 1424  │  120   │    100     │   true   │  false   │             '0.17.0'             │       'dart.dev'       │
│   21    │      'google_maps_flutter'       │ 1405  │  110   │     99     │   true   │  false   │             '2.0.3'              │     'flutter.dev'      │
│   22    │           'animate_do'           │ 1405  │  120   │     96     │   true   │  false   │             '2.0.0'              │ 'fernando-herrera.com' │
│   23    │          'connectivity'          │ 1402  │  120   │     99     │   true   │   true   │             '3.0.3'              │     'flutter.dev'      │
│   24    │            'fl_chart'            │ 1401  │  120   │     98     │   true   │  false   │             '0.36.0'             │    'ikhoshabi.com'     │
│   25    │        'flutter_spinkit'         │ 1376  │  105   │     99     │   true   │  false   │             '5.0.0'              │       undefined        │
│   26    │      'font_awesome_flutter'      │ 1350  │  120   │     99     │   true   │   true   │             '9.0.0'              │ 'fluttercommunity.dev' │
│   27    │        'cloud_firestore'         │ 1316  │  120   │    100     │   true   │  false   │             '1.0.7'              │ 'firebase.google.com'  │
│   28    │         'auto_size_text'         │ 1318  │  110   │     99     │  false   │  false   │    '2.1.03.0.0-nullsafety.0'     │       undefined        │
│   29    │          'flutter_svg'           │ 1272  │  120   │    100     │   true   │  false   │             '0.22.0'             │     'dnfield.dev'      │
│   30    │             'share'              │ 1271  │  100   │     99     │   true   │   true   │             '2.0.1'              │     'flutter.dev'      │
│   31    │            'shimmer'             │ 1251  │  130   │     99     │   true   │  false   │             '2.0.0'              │      'hunghd.dev'      │
│   32    │       'firebase_messaging'       │ 1238  │  120   │     99     │   true   │  false   │             '9.1.3'              │ 'firebase.google.com'  │
│   33    │         'flutter_swiper'         │ 1235  │  110   │     99     │  false   │  false   │             '1.1.6'              │       undefined        │
│   34    │       'permission_handler'       │ 1179  │  120   │     99     │   true   │  false   │             '7.1.0'              │     'baseflow.com'     │
│   35    │             'get_it'             │ 1159  │  130   │     99     │   true   │  false   │             '6.1.1'              │ 'fluttercommunity.dev' │
│   36    │        'webview_flutter'         │ 1151  │  110   │     99     │   true   │  false   │             '2.0.4'              │     'flutter.dev'      │
│   37    │             'rxdart'             │ 1097  │  125   │    100     │   true   │   true   │             '0.26.0'             │ 'fluttercommunity.dev' │
│   38    │         'device_preview'         │ 1071  │  110   │     97     │   true   │  false   │             '0.7.1'              │   'aloisdeniel.com'    │
│   39    │            'location'            │ 1056  │  130   │     99     │   true   │   true   │             '4.1.1'              │      'bernos.dev'      │
│   40    │          'file_picker'           │ 1053  │  130   │     99     │   true   │  false   │             '3.0.1'              │   'miguelruivo.com'    │
│   41    │       'convex_bottom_bar'        │ 1044  │  130   │     96     │   true   │   true   │             '3.0.0'              │     'hacktons.cn'      │
│   42    │  'flutter_staggered_grid_view'   │  986  │  120   │     99     │   true   │  false   │             '0.4.0'              │   'romainrastel.com'   │
│   43    │       'modal_bottom_sheet'       │  985  │  120   │     99     │   true   │  false   │             '2.0.0'              │   'jaimeblasco.com'    │
│   44    │          'device_info'           │  976  │  120   │     99     │   true   │   true   │             '2.0.0'              │     'flutter.dev'      │
│   45    │     'flutter_native_splash'      │  969  │  130   │     97     │   true   │  false   │            '1.1.8+4'             │    'jonhanson.net'     │
│   46    │              'bloc'              │  944  │  130   │     99     │   true   │   true   │             '7.0.0'              │   'bloclibrary.dev'    │
│   47    │        'sliding_up_panel'        │  930  │  130   │     98     │   true   │  false   │            '2.0.0+1'             │   'akshathjain.com'    │
│   48    │        'pull_to_refresh'         │  922  │  110   │     99     │  false   │  false   │             '1.6.5'              │       undefined        │
│   49    │          'fluttertoast'          │  921  │  130   │     99     │   true   │  false   │             '8.0.6'              │  'karthikponnam.dev'   │
│   50    │         'google_sign_in'         │  896  │  120   │     99     │   true   │  false   │             '5.0.2'              │     'flutter.dev'      │
│   51    │       'flutter_screenutil'       │  888  │  130   │     98     │   true   │  false   │             '5.0.0'              │       undefined        │
│   52    │      'introduction_screen'       │  886  │  120   │     97     │   true   │  false   │             '2.1.0'              │       undefined        │
│   53    │       'simple_animations'        │  883  │  130   │     99     │   true   │  false   │             '3.1.1'              │  'felix-blaschke.de'   │
│   54    │           'photo_view'           │  878  │  130   │     99     │   true   │  false   │             '0.11.1'             │    'fireslime.xyz'     │
│   55    │          'video_player'          │  847  │  130   │     99     │   true   │  false   │             '2.1.1'              │     'flutter.dev'      │
│   56    │     'flutter_secure_storage'     │  843  │  120   │     99     │   true   │  false   │             '4.2.0'              │       undefined        │
│   57    │         'firebase_core'          │  834  │  120   │    100     │   true   │  false   │             '1.1.0'              │ 'firebase.google.com'  │
│   58    │   'syncfusion_flutter_charts'    │  826  │  130   │     97     │   true   │  false   │            '19.1.58'             │    'syncfusion.com'    │
│   59    │         'timeline_tile'          │  815  │  120   │     96     │   true   │  false   │             '2.0.0'              │ 'juliobitencourt.com'  │
│   60    │          'audioplayers'          │  794  │  130   │     99     │   true   │  false   │             '0.18.3'             │    'fireslime.xyz'     │
│   61    │         'table_calendar'         │  789  │  130   │     98     │   true   │  false   │             '3.0.0'              │       undefined        │
│   62    │          'package_info'          │  782  │  110   │     99     │   true   │   true   │             '2.0.0'              │     'flutter.dev'      │
│   63    │           'equatable'            │  759  │  130   │     99     │   true   │  false   │             '2.0.0'              │ 'fluttercommunity.dev' │
│   64    │       'easy_localization'        │  753  │  130   │     98     │   true   │  false   │             '3.0.0'              │       undefined        │
│   65    │     'curved_navigation_bar'      │  748  │  110   │     97     │  false   │  false   │    '0.3.70.4.0-nullsafety.0'     │    'mobilemvp.app'     │
│   66    │             'badges'             │  746  │  110   │     98     │  false   │  false   │    '1.2.02.0.0-nullsafety.1'     │       'yako.io'        │
│   67    │             'lottie'             │  731  │  130   │     99     │   true   │  false   │             '1.0.1'              │       undefined        │
│   68    │            'riverpod'            │  728  │  130   │     98     │   true   │  false   │            '0.14.0+3'            │       undefined        │
│   69    │             'logger'             │  719  │  130   │     99     │   true   │  false   │             '1.0.0'              │       undefined        │
│   70    │      'flutter_form_builder'      │  714  │  130   │     97     │   true   │  false   │             '6.0.0'              │  'danvickmiller.dev'   │
│   71    │           'just_audio'           │  714  │  130   │     97     │   true   │   true   │             '0.7.4'              │    'ryanheise.com'     │
