Google own a total of 25/250 top packages
┌─────────┬──────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┬─────────┬───────┬───────┬───────┬───────┬─────────┐
│ (index) │ rank │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │ android │  ios  │ linux │ macos │  web  │ windows │
├─────────┼──────┼──────────────────────────────┼───────┼────────┼────────────┼──────────┼──────────┼────────────────────────────┼───────────────┼─────────┼───────┼───────┼───────┼───────┼─────────┤
│    0    │  3   │     'shared_preferences'     │ 3976  │  130   │    100     │   true   │   true   │          '2.0.7'           │ 'flutter.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
│    1    │  5   │        'url_launcher'        │ 3078  │  130   │    100     │   true   │   true   │          '6.0.10'          │ 'flutter.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
│    2    │  6   │         'animations'         │ 2871  │  130   │     99     │   true   │  false   │          '2.0.1'           │ 'flutter.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
│    3    │  10  │        'image_picker'        │ 2595  │  130   │    100     │   true   │  false   │          '0.8.4'           │ 'flutter.dev' │  true   │ true  │ false │ false │ true  │  false  │
│    4    │  22  │       'path_provider'        │ 1882  │  120   │    100     │   true   │   true   │          '2.0.3'           │ 'flutter.dev' │  true   │ true  │ true  │ true  │ false │  true   │
│    5    │  26  │    'google_maps_flutter'     │ 1768  │  120   │     99     │   true   │  false   │          '2.0.8'           │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│    6    │  31  │        'connectivity'        │ 1682  │  130   │     99     │   true   │  false   │          '3.0.6'           │ 'flutter.dev' │  true   │ true  │ false │ true  │ true  │  false  │
│    7    │  36  │      'webview_flutter'       │ 1478  │  120   │    100     │   true   │  false   │          '2.0.12'          │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│    8    │  37  │           'share'            │ 1470  │  120   │     99     │   true   │  false   │          '2.0.4'           │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│    9    │  51  │       'google_sign_in'       │ 1202  │  130   │     99     │   true   │  false   │          '5.1.0'           │ 'flutter.dev' │  true   │ true  │ false │ false │ true  │  false  │
│   10    │  58  │        'device_info'         │ 1134  │  120   │     99     │   true   │  false   │          '2.0.2'           │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│   11    │  60  │        'video_player'        │ 1117  │  130   │     99     │   true   │  false   │          '2.1.15'          │ 'flutter.dev' │  true   │ true  │ false │ false │ true  │  false  │
│   12    │  75  │        'package_info'        │  885  │  120   │     99     │   true   │  false   │          '2.0.2'           │ 'flutter.dev' │  true   │ true  │ false │ true  │ false │  false  │
│   13    │  93  │         'local_auth'         │  761  │  120   │     98     │   true   │  false   │          '1.1.7'           │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│   14    │  99  │           'camera'           │  719  │  110   │     99     │   true   │  false   │         '0.9.2+2'          │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│   15    │ 100  │      'in_app_purchase'       │  719  │  120   │     97     │   true   │  false   │          '1.0.8'           │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│   16    │ 102  │     'google_mobile_ads'      │  715  │  120   │     98     │   true   │  false   │          '0.13.4'          │ 'google.dev'  │  true   │ true  │ false │ false │ false │  false  │
│   17    │ 124  │ 'scrollable_positioned_list' │  587  │  110   │     98     │  false   │  false   │ '0.1.100.2.0-nullsafety.0' │ 'google.dev'  │  true   │ true  │ true  │ true  │ true  │  true   │
│   18    │ 144  │          'pedantic'          │  535  │  130   │    100     │   true   │  false   │          '1.11.1'          │ 'google.dev'  │  true   │ true  │ true  │ true  │ true  │  true   │
│   19    │ 186  │      'flutter_markdown'      │  424  │  130   │     98     │   true   │  false   │          '0.6.6'           │ 'flutter.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
│   20    │ 205  │          'sensors'           │  378  │  120   │     96     │   true   │  false   │          '2.0.3'           │ 'flutter.dev' │  true   │ true  │ false │ false │ false │  false  │
│   21    │ 210  │        'built_value'         │  371  │  120   │     99     │   true   │   true   │          '8.1.2'           │ 'google.dev'  │  true   │ true  │ true  │ true  │ true  │  true   │
│   22    │ 221  │   'android_alarm_manager'    │  355  │  110   │     93     │   true   │  false   │          '2.0.2'           │ 'flutter.dev' │  true   │ false │ false │ false │ false │  false  │
│   23    │ 247  │         'googleapis'         │  321  │  115   │     96     │   true   │   true   │          '4.0.0'           │ 'google.dev'  │  true   │ true  │ true  │ true  │ true  │  true   │
│   24    │ 250  │      'json_annotation'       │  318  │  120   │    100     │   true   │  false   │          '4.1.0'           │ 'google.dev'  │  true   │ true  │ true  │ true  │ true  │  true   │
└─────────┴──────┴──────────────────────────────┴───────┴────────┴────────────┴──────────┴──────────┴────────────────────────────┴───────────────┴─────────┴───────┴───────┴───────┴───────┴─────────┘


Firebase Packages
┌─────────┬──────┬──────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬──────────┬───────────────────────┬─────────┬──────┬───────┬───────┬───────┬─────────┐
│ (index) │ rank │           name           │ likes │ health │ popularity │ nullSafe │ endorsed │ version  │       developer       │ android │ ios  │ linux │ macos │  web  │ windows │
├─────────┼──────┼──────────────────────────┼───────┼────────┼────────────┼──────────┼──────────┼──────────┼───────────────────────┼─────────┼──────┼───────┼───────┼───────┼─────────┤
│    0    │  24  │     'firebase_auth'      │ 1795  │  120   │    100     │   true   │   true   │ '3.1.0'  │ 'firebase.google.com' │  true   │ true │ false │ true  │ true  │  false  │
│    1    │  32  │    'cloud_firestore'     │ 1656  │  120   │    100     │   true   │   true   │ '2.5.1'  │ 'firebase.google.com' │  true   │ true │ false │ true  │ true  │  false  │
│    2    │  35  │   'firebase_messaging'   │ 1580  │  120   │    100     │   true   │   true   │ '10.0.6' │ 'firebase.google.com' │  true   │ true │ false │ true  │ true  │  false  │
│    3    │  52  │     'firebase_core'      │ 1197  │  120   │    100     │   true   │   true   │ '1.6.0'  │ 'firebase.google.com' │  true   │ true │ false │ true  │ true  │  false  │
│    4    │ 113  │    'firebase_storage'    │  642  │  120   │     99     │   true   │   true   │ '10.0.3' │ 'firebase.google.com' │  true   │ true │ false │ true  │ true  │  false  │
│    5    │ 140  │   'firebase_analytics'   │  539  │  120   │     99     │   true   │  false   │ '8.3.1'  │ 'firebase.google.com' │  true   │ true │ false │ false │ true  │  false  │
│    6    │ 168  │  'firebase_crashlytics'  │  477  │  110   │     99     │   true   │   true   │ '2.2.1'  │ 'firebase.google.com' │  true   │ true │ false │ true  │ false │  false  │
│    7    │ 220  │ 'firebase_dynamic_links' │  356  │  120   │     99     │   true   │  false   │ '2.0.9'  │ 'firebase.google.com' │  true   │ true │ false │ false │ false │  false  │
└─────────┴──────┴──────────────────────────┴───────┴────────┴────────────┴──────────┴──────────┴──────────┴───────────────────────┴─────────┴──────┴───────┴───────┴───────┴─────────┘


State Management Packages
┌─────────┬──────┬────────────┬───────┬────────┬────────────┬──────────┬──────────┬───────────────────────┬────────────────────────┬─────────┬──────┬───────┬───────┬──────┬─────────┐
│ (index) │ rank │    name    │ likes │ health │ popularity │ nullSafe │ endorsed │        version        │       developer        │ android │ ios  │ linux │ macos │ web  │ windows │
├─────────┼──────┼────────────┼───────┼────────┼────────────┼──────────┼──────────┼───────────────────────┼────────────────────────┼─────────┼──────┼───────┼───────┼──────┼─────────┤
│    0    │  1   │   'get'    │ 6071  │  130   │     99     │   true   │  false   │        '4.3.8'        │      'getx.site'       │  true   │ true │ true  │ true  │ true │  true   │
│    1    │  2   │ 'provider' │ 4989  │  130   │    100     │   true   │   true   │        '6.0.0'        │  'dash-overflow.net'   │  true   │ true │ true  │ true  │ true │  true   │
│    2    │  47  │  'rxdart'  │ 1294  │  125   │    100     │   true   │   true   │       '0.27.2'        │ 'fluttercommunity.dev' │  true   │ true │ true  │ true  │ true │  true   │
