
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
├─────────┼──────────────────────────────┼───────┼────────┼────────────┼──────────┼──────────┼────────────────────────────┼───────────────┤
│    0    │     'shared_preferences'     │ 3332  │  130   │    100     │   true   │   true   │          '2.0.6'           │ 'flutter.dev' │
│    1    │        'url_launcher'        │ 2599  │  130   │    100     │   true   │   true   │          '6.0.6'           │ 'flutter.dev' │
│    2    │         'animations'         │ 2474  │  120   │     98     │   true   │  false   │          '2.0.0'           │ 'flutter.dev' │
│    3    │        'image_picker'        │ 2084  │  130   │    100     │   true   │  false   │         '0.8.0+1'          │ 'flutter.dev' │
│    4    │       'path_provider'        │ 1607  │  120   │    100     │   true   │   true   │          '2.0.2'           │ 'flutter.dev' │
│    5    │        'connectivity'        │ 1531  │  130   │     99     │   true   │  false   │          '3.0.6'           │ 'flutter.dev' │
│    6    │    'google_maps_flutter'     │ 1502  │  120   │     99     │   true   │  false   │          '2.0.6'           │ 'flutter.dev' │
│    7    │           'share'            │ 1359  │  120   │     99     │   true   │  false   │          '2.0.4'           │ 'flutter.dev' │
│    8    │      'webview_flutter'       │ 1242  │  120   │     99     │   true   │  false   │          '2.0.8'           │ 'flutter.dev' │
│    9    │        'device_info'         │ 1035  │  120   │     99     │   true   │  false   │          '2.0.2'           │ 'flutter.dev' │
│   10    │       'google_sign_in'       │  970  │  130   │     99     │   true   │  false   │          '5.0.4'           │ 'flutter.dev' │
│   11    │        'video_player'        │  922  │  130   │     99     │   true   │  false   │          '2.1.5'           │ 'flutter.dev' │
│   12    │        'package_info'        │  829  │  120   │     99     │   true   │  false   │          '2.0.2'           │ 'flutter.dev' │
│   13    │         'local_auth'         │  614  │  120   │     98     │   true   │  false   │          '1.1.6'           │ 'flutter.dev' │
│   14    │      'in_app_purchase'       │  593  │  120   │     97     │   true   │  false   │          '1.0.4'           │ 'flutter.dev' │
│   15    │           'camera'           │  593  │  110   │     99     │   true   │  false   │         '0.8.1+2'          │ 'flutter.dev' │
│   16    │     'google_mobile_ads'      │  544  │  120   │     98     │   true   │  false   │          '0.13.0'          │ 'google.dev'  │
│   17    │ 'scrollable_positioned_list' │  503  │  110   │     98     │  false   │  false   │ '0.1.100.2.0-nullsafety.0' │ 'google.dev'  │
│   18    │          'pedantic'          │  492  │  130   │    100     │   true   │  false   │          '1.11.0'          │ 'google.dev'  │
│   19    │          'sensors'           │  370  │  120   │     96     │   true   │  false   │          '2.0.3'           │ 'flutter.dev' │
