starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
├─────────┼──────────────────────────────────┼───────┼────────┼────────────┼────────────┼──────────────┼───────────────────────────────────┼────────────────────────┤
│    0    │              'get'               │ 4221  │  130   │     99     │    true    │    false     │              '4.1.4'              │      'getx.site'       │
│    1    │            'provider'            │ 4006  │  130   │    100     │    true    │     true     │              '5.0.0'              │  'dash-overflow.net'   │
│    2    │       'shared_preferences'       │ 3061  │  110   │    100     │    true    │     true     │              '2.0.5'              │     'flutter.dev'      │
│    3    │              'http'              │ 2515  │  130   │    100     │    true    │    false     │             '0.13.1'              │       'dart.dev'       │
│    4    │          'url_launcher'          │ 2389  │  130   │    100     │    true    │     true     │              '6.0.3'              │     'flutter.dev'      │
│    5    │           'animations'           │ 2304  │  130   │     98     │    true    │    false     │              '2.0.0'              │     'flutter.dev'      │
│    6    │          'flutter_bloc'          │ 2138  │  130   │     99     │    true    │     true     │              '7.0.0'              │   'bloclibrary.dev'    │
│    7    │              'dio'               │ 2003  │  120   │     99     │    true    │    false     │              '4.0.0'              │  'flutterchina.club'   │
│    8    │          'google_fonts'          │ 1978  │  130   │     99     │    true    │     true     │              '2.0.0'              │     'material.io'      │
│    9    │     'flutter_launcher_icons'     │ 1964  │   90   │     99     │    true    │    false     │              '0.9.0'              │ 'fluttercommunity.dev' │
│   10    │          'image_picker'          │ 1881  │  130   │    100     │    true    │    false     │              '0.7.4'              │     'flutter.dev'      │
│   11    │        'flutter_slidable'        │ 1846  │  130   │     99     │    true    │     true     │              '0.6.0'              │   'romainrastel.com'   │
│   12    │  'flutter_local_notifications'   │ 1743  │  120   │     99     │    true    │     true     │             '5.0.0+1'             │     'dexterx.dev'      │
│   13    │              'hive'              │ 1655  │  130   │     99     │    true    │    false     │              '2.0.4'              │      'hivedb.dev'      │
│   14    │           'geolocator'           │ 1651  │  130   │     99     │    true    │     true     │              '7.0.3'              │     'baseflow.com'     │
│   15    │            'sqflite'             │ 1625  │  120   │    100     │    true    │     true     │             '2.0.0+3'             │     'tekartik.com'     │
│   16    │        'carousel_slider'         │ 1562  │  110   │     99     │   false    │    false     │     '3.0.04.0.0-nullsafety.0'     │     'serenader.me'     │
